ELM,Phenotype,Effect,SE,Pvalue,FDR,log2FC
SH3,Naive_Low,0.0,0.0,,,0.0
SH3,CM_High,-0.0318865813324259,0.03367677302715809,0.3437193235406715,0.9998849800444911,-0.04600261275919345
SH3,CM_Low,-0.03045806361396387,0.03551319558488847,0.39108309079734427,0.9998849800444911,-0.04394169733094626
SH3,EM_High,-0.011339587175232825,0.03424302152321981,0.7405309518539791,0.9998849800444911,-0.016359566183436487
SH3,EM_Low,-0.020532920930603944,0.031358830653469616,0.5126138077968013,0.9998849800444911,-0.02962274320154751
SUMO,Naive_High,-0.0005902609871823855,0.0424875598028183,0.988915697167121,0.9998849800444911,-0.0008515665990382516
SUMO,Naive_Low,0.0,0.0,,,0.0
SUMO,CM_High,0.011459392741901574,0.043337006045662124,0.7914523622151668,0.9998849800444911,0.01653240908034038
SUMO,CM_Low,-0.013227551351936633,0.04537485211418221,0.7706557656427186,0.9998849800444911,-0.019083322738543084
SUMO,EM_High,-0.013417072255743831,0.043598994258229044,0.7582816155729043,0.9998849800444911,-0.019356743606610525
SUMO,EM_Low,-0.023134809574196624,0.04029514364527817,0.5658771679154726,0.9998849800444911,-0.03337647504460398
TRAF2like,Naive_High,0.0033874392159346997,0.06838216502952735,0.9604914459603158,0.9998849800444911,0.00488704175814179
TRAF2like,Naive_Low,0.0,0.0,,,0.0
TRAF2like,CM_High,-0.005199949879795225,0.06988646328501968,0.9406875887064904,0.9998849800444911,-0.007501941904451733
TRAF2like,CM_Low,-0.007862990568590614,0.07382368436428412,0.9151773998540764,0.9998849800444911,-0.01134389749986237
TRAF2like,EM_High,-0.005370322711827475,0.07024143614279886,0.939056958638198,0.9998849800444911,-0.007747737944326868
TRAF2like,EM_Low,-0.013258824367663555,0.06494861947928032,0.8382415319849732,0.9998849800444911,-0.01912844016324596
TRAF4,Naive_High,0.010495884807117608,0.07315949972703813,0.8859223340116702,0.9998849800444911,0.015142360960970387
TRAF4,Naive_Low,0.0,0.0,,,0.0
TRAF4,CM_High,0.0023843795928792555,0.07363454446179521,0.9741680041486713,0.9998849800444911,0.0034399326142437476
TRAF4,CM_Low,-0.009628740278860915,0.07591119892476804,0.8990653280349941,0.9998849800444911,-0.013891335850320458
TRAF4,EM_High,0.0029574281840178207,0.07512460163744629,0.9685978110063798,0.9998849800444911,0.004266666974867763
TRAF4,EM_Low,-0.021385858088674825,0.06803049741630945,0.7532499666247101,0.9998849800444911,-0.030853271409686297
TRAF6,Naive_High,-0.006801921660755963,0.0839330283150729,0.9354102454907155,0.9998849800444911,-0.00981309864848785
TRAF6,Naive_Low,0.0,0.0,,,0.0
TRAF6,CM_High,-0.014044669498043132,0.08425484540858655,0.8676118326484566,0.9998849800444911,-0.020262175035751315
TRAF6,CM_Low,-0.003246915788686504,0.09090915856074099,0.9715087749827729,0.9998849800444911,-0.004684309306522097
TRAF6,EM_High,0.0004449002759024549,0.08738585133951679,0.9959378146202627,0.9998849800444911,0.0006418554217346033
TRAF6,EM_Low,0.00582738745028615,0.08113357817179007,0.9427414890166643,0.9998849800444911,0.00840714297586641
TRFH,Naive_High,0.003449671486070906,0.14584155647904212,0.9811289522285846,0.9998849800444911,0.004976823945650557
TRFH,Naive_Low,0.0,0.0,,,0.0
TRFH,CM_High,-0.006870047439789864,0.1415660367437003,0.9612947135637115,0.9998849800444911,-0.009911383372056756
TRFH,CM_Low,-7.362348792589951e-05,0.15279302557361585,0.9996155384590701,0.9998849800444911,-0.0001062162409236437
TRFH,EM_High,-0.00010130787991712698,0.1450867832557254,0.9994428714670541,0.9998849800444911,-0.0001461563759594137
TRFH,EM_Low,-0.0008549362099415915,0.13373362420858495,0.9948992950715779,0.9998849800444911,-0.0012334122303591399
TYR,Naive_High,-0.028522713456508867,0.05358858086361937,0.5945503851435456,0.9998849800444911,-0.041149577256402246
TYR,Naive_Low,0.0,0.0,,,0.0
TYR,CM_High,0.00434062463623593,0.054402789086059375,0.9364068202366499,0.9998849800444911,0.006262197637058037
TYR,CM_Low,-0.0015964012046592105,0.05735070171563845,0.9777931330249295,0.9998849800444911,-0.00230312010123101
TYR,EM_High,0.002920526852592539,0.055366614068891394,0.9579319930169649,0.9998849800444911,0.004213429607018309
TYR,EM_Low,-0.0017325322652170885,0.051049613750632945,0.9729264274062899,0.9998849800444911,-0.002499515707208816
UBA3,Naive_High,-0.02639961468347872,0.042320321631669315,0.5327558659138449,0.9998849800444911,-0.03808659318523421
UBA3,Naive_Low,0.0,0.0,,,0.0
UBA3,CM_High,-0.005217689145515254,0.043497663684292226,0.9045201265782539,0.9998849800444911,-0.00752753425513503
UBA3,CM_Low,0.0030373258781644296,0.04562299742825708,0.9469204880016023,0.9998849800444911,0.004381934981991539
UBA3,EM_High,-0.001774158146421694,0.04420843716063279,0.9679881579008898,0.9998849800444911,-0.0025595691595953337
UBA3,EM_Low,-0.018808001626194667,0.04082854018304613,0.6450438524402065,0.9998849800444911,-0.027134210675142607
USP7,Naive_High,-0.006191865221633864,0.02500439204021223,0.8044198421098194,0.9998849800444911,-0.008932973249104019
USP7,Naive_Low,0.0,0.0,,,0.0
USP7,CM_High,-0.024055239926923464,0.025614559688450323,0.34766724022642637,0.9998849800444911,-0.034704375349966676
USP7,CM_Low,-0.040772299449476655,0.026901504446404767,0.12961695962822006,0.9998849800444911,-0.05882199422139978
USP7,EM_High,-0.02021612704051723,0.025988485880911214,0.43663513995089187,0.9998849800444911,-0.029165706227335483
USP7,EM_Low,-0.034820022895085866,0.023840868178336617,0.14414769758529195,0.9998849800444911,-0.050234674354380546
