ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
SH3,103,496,901274.0,0.4353778114904865,-0.01991117722796395,1839168,-1.6962988675267001,-0.057972703732896244,-2.037051539968363,-2.5726036047920595,CM_High,0.7619111701083513,
SUMO,55,544,541726.5,0.8601004372481447,0.005879567736185383,1077120,0.42613642936370744,-0.4171153456282548,-2.7743362726356553,-2.341747612122912,CM_High,0.9882376397843616,
TRAF2like,14,585,155718.0,0.37730818775337804,0.05628815628815629,294840,2.962953998069309,-0.4187258126149351,-2.5010755194640346,-2.4100637094706254,CM_High,0.7619111701083513,
TRAF4,22,577,221614.5,0.556702775327101,-0.030099522083924163,456984,-2.8871850144781646,-0.2425566275359568,-2.518494987427621,-2.4100637094706254,CM_High,0.8917250642658783,
TRAF6,13,586,127414.5,0.28410902944839356,-0.07080817362387329,274248,-4.18691441142447,-0.2543401997581033,-2.48800905234273,-2.4100637094706254,CM_High,0.6942985867738855,
TRFH,3,596,31599.0,0.8941112342105021,-0.018176733780760627,64368,-2.995990192645193,-0.3263175735383072,-1.568336122215924,-2.4149990814586504,CM_High,0.9882376397843616,
TYR,20,579,214749.5,0.5723853991475075,0.030270101707925542,416880,0.4261934937792789,-0.36614354798333726,-2.188708505542335,-2.431460016711214,CM_High,0.8917250642658783,
UBA3,66,533,637881.0,0.8102599631937957,0.00738624519112324,1266408,-0.28578775835189973,-0.34636257477587507,-2.0198251050238727,-2.4407841884694643,CM_High,0.9882376397843616,
USP7,301,298,1640440.5,0.40543883009479875,0.01602692739340156,3229128,-0.28419080789685647,-0.3957443329859491,-2.1583655002699222,-2.8477008774851953,CM_High,0.7619111701083513,
WD40,315,284,1534078.5,0.014158448851654381,-0.04732189432893658,3220560,-1.2935138909085784,0.7182522226388576,-2.6921621842754426,-2.221959879921572,CM_High,0.13301318635489087,
WRC,21,578,205374.0,0.25188482757226527,-0.060004393914428515,436968,-2.1043544492819883,-0.27557405012429914,-3.819763279582335,-2.3237388555899297,CM_High,0.6495977132126841,
WW,125,474,1035142.5,0.21480795046311296,-0.02940225035161744,2133000,-2.219710844090325,0.15609833566355266,-2.1497238110614623,-2.7009818442659146,CM_High,0.6252197967832619,
deltaCOP1,6,593,74263.0,0.09902830792687817,0.15956217600399725,128088,6.916757044270644,-0.41310925239863505,-1.0020356042183116,-2.423627543257573,CM_High,0.37326054526284846,
eIF4E,6,593,59054.0,0.4205542764273603,-0.07791518331147336,128088,-0.6611643370772113,-0.3364355116092806,-5.875135605109645,-2.358188713743232,CM_High,0.7619111701083513,
14-3-3,258,341,1513725.0,0.023296308762337698,-0.044126561943516183,3167208,-0.4601050487474421,1.645250339192905,-2.689569299906438,-2.0412867823441094,CM_Low,0.22830382587090944,
ANK,6,593,55820.0,0.18433412338860222,-0.12841171694460057,128088,-2.8721242610807627,0.7749679741221334,-2.303023735771964,-2.223207520980657,CM_Low,0.6735109840310151,
APCC,10,589,104440.0,0.8429070606514937,-0.01490284851914733,212040,1.1780829081201718,0.7309718743747688,-3.12810896171957,-2.215106968195162,CM_Low,0.9236081275692156,
Actin,22,577,237686.5,0.4320025264242334,0.04023992087250319,456984,3.1244199552027645,0.6474627800233617,-1.6768647314553022,-2.2592069245136015,CM_Low,0.7266319144699394,
Arc,60,539,601255.0,0.3055712474033886,0.03287122929980073,1164240,2.5809620023078046,0.5333312485147909,-1.7368865013954613,-2.390309236148915,CM_Low,0.6735109840310151,
