motif,tsubset,coef,se
LIR,Low,-0.6317567922665861,0.04223092360076952
LYPXL,Low,0.16127422445684203,0.17757623025000416
MAPK,Low,-0.04643725710743127,0.04896968088808693
MSH2,Low,-0.6592104564700378,0.10374970782701852
MYND,Low,0.22230202311958108,0.16124783911887733
NRBOX,Low,-0.20650668579588655,0.19448430882590262
NRP,Low,-0.10966482119389688,0.11485312679928524
PCNA,Low,-1.055476385832558,0.1311853496726355
PDZ,Low,-0.08952498088475389,0.042759476758526385
PP1,Low,0.23777054704439177,0.08392384053630253
PP2A,Low,-0.523993218423639,0.06425846201024572
PP2B,Low,-0.537634744335798,0.08978748878499404
PP4,Low,-0.5433031131169377,0.07141607395066925
PTB,Low,-0.03274138216186184,0.07261173194213509
Pex14,Low,-0.4567552721021544,0.06782683178545271
REV1ctd,Low,0.9743419045878305,0.09836510572490152
SH2,Low,0.055315249578660144,0.039363183612425356
SH3,Low,-0.02444793542672917,0.040180810003679825
SUMO,Low,-0.6267383199398334,0.06028424988951179
TRAF2like,Low,0.3972909378362539,0.068990853288253
TRAF4,Low,0.15060953628648577,0.11748398544952757
TRAF6,Low,-1.0254096369807244,0.0827209248653178
TRFH,Low,-0.40354005138483684,0.11758575075347315
TYR,Low,-0.8786467838340721,0.058859860600284905
UBA3,Low,-0.1694670259200625,0.07112400076639244
USP7,Low,-0.6623452545266785,0.036526882561319945
WD40,Low,-0.47566272264143267,0.03903534276189071
WRC,Low,-0.39398620124599515,0.07171412896064452
WW,Low,-0.11933894006215842,0.03973235946376046
deltaCOP1,Low,0.05482349472449541,0.14250227799933676
eIF4E,Low,0.630285900398646,0.12411316695734538
